focal_addr,focal_addr_type,blacklist,tot_txn,tot_val,min_val,max_val,sd2_val,unq_other_addr,days_diff_first_last,contract_creation,recv_txn,tot_val_recv,min_val_recv,max_val_recv,avg_val_recv,sd2_val_recv,unq_from_addr,days_diff_first_last_recv,sent_txn,tot_val_sent,min_val_sent,max_val_sent,avg_val_sent,sd2_val_sent,unq_to_addr,days_diff_first_last_sent,to_contract_txn,tot_val_to_contract,min_val_to_contract,max_val_to_contract,avg_val_to_contract,erc20_txn,sum_val_erc20,erc721_txn,sum_val_erc721,days_since_last_txn
0x2f6953454cafd2988c288c4a4c9c5032ec870f16,wallet address,0.0,2.0,7.560795e+16,3.766527e+16,3.794268e+16,1.92390770247731e+28,2.0,0.00166666693985462,0.0,1.0,3.794268e+16,3.794268e+16,3.794268e+16,3.794268e+16,0.0,1.0,0.0,1.0,3.766527e+16,3.766527e+16,3.766527e+16,3.766527e+16,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81.0
0x2fa0f2b86dd1f001e18801ad9287d7ce3790b0c2,wallet address,0.0,12.0,6.34203883864584e+16,0.0,6.34203883864584e+16,3.0724723815265e+32,2.0,28.4790277779102,0.0,1.0,6.34203883864584e+16,6.34203883864584e+16,6.34203883864584e+16,6.34203883864584e+16,0.0,1.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,1.0,20.372361110989,11.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0
0x2fa53f87a303ebeccfac59af96cac66aea50061b,wallet address,0.0,10.0,1.88100502509155e+17,0.0,9.98478698193644e+16,1.19481623491739e+33,4.0,40.5046643521636,0.0,3.0,1.2e+16,2000000000000000.0,5000000000000000.0,4000000000000000.0,2e+30,1.0,0.0476388889364898,7.0,1.76100502509155e+17,0.0,9.98478698193644e+16,2.5157214644165e+16,1.57173487328935e+33,4.0,40.5046643521636,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,113.0
0x2fb86518f4d31f94cd4bb964c1923cb4d0eb29ee,wallet address,0.0,2.0,1.73403288064886e+16,6031930000000000.0,1.13083988064886e+16,6.96028076646197e+30,2.0,175.696631944272,0.0,1.0,6031930000000000.0,6031930000000000.0,6031930000000000.0,6031930000000000.0,0.0,1.0,0.0,1.0,1.13083988064886e+16,1.13083988064886e+16,1.13083988064886e+16,1.13083988064886e+16,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,130.0
0x2fbc7d095daa1dd5cab50b84539571a60c84af30,wallet address,0.0,6.0,2.3058109e+17,0.0,7.436109e+16,4.61578438065014e+32,6.0,0.194305555429309,0.0,3.0,1.17165e+17,3.9055e+16,3.9055e+16,3.9055e+16,0.0,3.0,0.00069444440305233,3.0,1.1341609e+17,0.0,7.436109e+16,3.78053633333333e+16,9.22376080230689e+32,3.0,0.189166666474193,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,111.0
0x2fe13cde364bad961b6f9f7ee878f27e8bb388cc,wallet address,0.0,2.0,2e+16,0.0,2e+16,1e+32,2.0,0.0206944444216787,0.0,1.0,2e+16,2e+16,2e+16,2e+16,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,65.0
0x2fe48643d5fe620a3ce64383585f41879e02a596,wallet address,0.0,2.0,808674388225000.0,0.0,808674388225000.0,1.63488566542769e+29,2.0,0.0038888887502253,0.0,1.0,808674388225000.0,808674388225000.0,808674388225000.0,808674388225000.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,62.0
0x30090ed532f577ecd606d624ffdf972cd39f978c,wallet address,0.0,2.0,660547023968355.0,0.0,660547023968355.0,1.09080592718362e+29,2.0,0.000138888601213693,0.0,1.0,660547023968355.0,660547023968355.0,660547023968355.0,660547023968355.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,87.0
0x30157b465cb15e10d64d1ff11e17e7f8e5c8e09b,wallet address,0.0,1.0,4e+16,4e+16,4e+16,0.0,1.0,0.0,0.0,1.0,4e+16,4e+16,4e+16,4e+16,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
0x303cde1efe7a8f254e0cdd5e95ad8b9e0c9de5ad,wallet address,0.0,6.0,8.22286973646629e+17,0.0,2.07175740591191e+17,9.23843860021591e+33,3.0,3.25263888854533,0.0,3.0,4.11712751270588e+17,2266231270588000.0,2.0576826e+17,1.37237583756862e+17,9.10936101265376e+33,2.0,3.24652777751907,3.0,4.10574222376041e+17,0.0,2.07175740591191e+17,1.36858074125347e+17,9.36744417399786e+33,2.0,3.18249999964609,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,73.0
0x3048551b37d1b2483dd65a30445e63bb184080ce,wallet address,0.0,2.0,1346741384658360.0,0.0,1346741384658360.0,4.53428089287883e+29,2.0,0.0383333335630595,0.0,1.0,1346741384658360.0,1346741384658360.0,1346741384658360.0,1346741384658360.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0
0x304ae81340a6f039d7c0080daea8e661eb9b36c6,wallet address,0.0,3.0,6000000000000000.0,0.0,6000000000000000.0,7.99999999999999e+30,2.0,13.1806018520146,0.0,1.0,6000000000000000.0,6000000000000000.0,6000000000000000.0,6000000000000000.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,13.1802546298131,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,183.0
0x3084ba03b49a912b40fa0ec8e20b777a430976da,contract address,0.0,6.0,0.0,0.0,0.0,0.0,5.0,131.933333333116,0.0,6.0,0.0,0.0,0.0,0.0,0.0,5.0,131.933333333116,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0
0x3133ac876ec8c7611596dc513309279e3c402a20,wallet address,0.0,2.0,7.01412925656712e+16,3.30898892537905e+16,3.70514033118806e+16,3.92339840811132e+30,2.0,94.6709722224623,0.0,1.0,3.70514033118806e+16,3.70514033118806e+16,3.70514033118806e+16,3.70514033118806e+16,0.0,1.0,0.0,1.0,3.30898892537905e+16,3.30898892537905e+16,3.30898892537905e+16,3.30898892537905e+16,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.0
0x313427932472d1987a3e8c85394644c4f744c345,wallet address,0.0,2.0,647730851735359.0,0.0,647730851735359.0,1.04888814072453e+29,2.0,0.168750000186264,0.0,1.0,647730851735359.0,647730851735359.0,647730851735359.0,647730851735359.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,25.0
0x316903b0d9f4040e232d1f6af97b37fc67ddabba,wallet address,0.0,2.0,2887516568546560.0,0.0,2887516568546560.0,2.08443798340773e+30,2.0,0.00319444434717297,0.0,1.0,2887516568546560.0,2887516568546560.0,2887516568546560.0,2887516568546560.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,125.0
0x31976d5c3f004a1e59a485d1af41d52d807f368b,wallet address,0.0,1.0,3791151541838740.0,3791151541838740.0,3791151541838740.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3791151541838740.0,3791151541838740.0,3791151541838740.0,3791151541838740.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,143.0
